broj_karte,sifra_konkretnog_leta,kupac,prodavac,sediste,datum_prodaje,obrisana,status,putnici
2,1013,"{'korisnicko_ime': 'pera123', 'lozinka': 'lozinka123', 'ime': 'petar', 'prezime': 'petrovic', 'uloga': 'korisnik', 'email': 'pere@uhs.com', 'pasos': '23456789', 'drzavljanstvo': 'srpsko', 'telefon': '0654567826', 'pol': 'musko'}",,1B,2023-02-05 16:01:20.509370,False,realizovana_karta,"[{'ime': 'petar', 'prezime': 'petrovic'}]"
3,1001,"{'korisnicko_ime': 'pera123', 'lozinka': 'lozinka123', 'ime': 'petar', 'prezime': 'petrovic', 'uloga': 'korisnik', 'email': 'pere@uhs.com', 'pasos': '23456789', 'drzavljanstvo': 'srpsko', 'telefon': '0654567826', 'pol': 'musko'}","{'korisnicko_ime': 'ana1203', 'lozinka': 'ertyui', 'ime': 'ana', 'prezime': 'kovacevic', 'uloga': 'prodavac', 'email': 'ana@gmail.com', 'pasos': '12356779', 'drzavljanstvo': 'srpsko', 'telefon': '0604560026', 'pol': 'zensko'}",1B,2023-02-05 16:07:41.282860,False,realizovana_karta,"[{'ime': 'petar', 'prezime': 'petrovic'}]"
4,1017,"{'korisnicko_ime': 'markomarkovic', 'lozinka': 'abcdefg', 'ime': 'marko', 'prezime': 'markovic', 'uloga': 'korisnik', 'email': 'mare@uhs.com', 'pasos': '13496799', 'drzavljanstvo': 'srpsko', 'telefon': '0651237826', 'pol': 'musko'}",,6A,2023-02-06 15:37:34.535536,False,realizovana_karta,"[{'ime': 'marko', 'prezime': 'markovic'}]"
5,1021,"{'korisnicko_ime': 'pera123', 'lozinka': 'lozinka123', 'ime': 'petar', 'prezime': 'petrovic', 'uloga': 'korisnik', 'email': 'pere@uhs.com', 'pasos': '23456789', 'drzavljanstvo': 'srpsko', 'telefon': '0654567826', 'pol': 'musko'}",,,2023-02-06 16:10:37.271516,False,nerealizovana_karta,"[{'ime': 'petar', 'prezime': 'petrovic'}]"
6,1049,"{'korisnicko_ime': 'IgorNikolic5427', 'lozinka': 'gmrouk', 'ime': 'Igor', 'prezime': 'Nikolic', 'uloga': 'korisnik', 'email': 'email@nesto.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '0652056789', 'pol': ''}","{'korisnicko_ime': 'ana1203', 'lozinka': 'ertyui', 'ime': 'ana', 'prezime': 'kovacevic', 'uloga': 'prodavac', 'email': 'ana@gmail.com', 'pasos': '12356779', 'drzavljanstvo': 'srpsko', 'telefon': '0604560026', 'pol': 'zensko'}",60A,2023-02-09 18:11:56.274867,False,realizovana_karta,"[{'ime': 'Igor', 'prezime': 'Nikolic'}]"
7,1049,"{'korisnicko_ime': 'petarpetrovci7765', 'lozinka': 'gfeiwb', 'ime': 'petar', 'prezime': 'petrovci', 'uloga': 'korisnik', 'email': 'uashdjsa@dfsdf.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '06547454806', 'pol': ''}","{'korisnicko_ime': 'ana1203', 'lozinka': 'ertyui', 'ime': 'ana', 'prezime': 'kovacevic', 'uloga': 'prodavac', 'email': 'ana@gmail.com', 'pasos': '12356779', 'drzavljanstvo': 'srpsko', 'telefon': '0604560026', 'pol': 'zensko'}",60B,2023-02-09 18:13:42.617490,False,realizovana_karta,"[{'ime': 'petar', 'prezime': 'petrovci'}]"
8,1043,"{'korisnicko_ime': 'pera123', 'lozinka': 'lozinka123', 'ime': 'petar', 'prezime': 'petrovic', 'uloga': 'korisnik', 'email': 'pere@uhs.com', 'pasos': '23456789', 'drzavljanstvo': 'srpsko', 'telefon': '0654567826', 'pol': 'musko'}",,1A,2023-02-09 19:08:43.749267,False,realizovana_karta,"[{'ime': 'petar', 'prezime': 'petrovic'}]"
9,1049,"{'korisnicko_ime': 'novikorisnik', 'lozinka': 'novikorisnik', 'ime': 'korisnik', 'prezime': 'korisnik', 'uloga': 'korisnik', 'email': 'hasdhas@gmail.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '0655474506', 'pol': ''}",,1A,2023-02-09 19:34:04.951284,False,realizovana_karta,"[{'ime': 'korisnik', 'prezime': 'korisnik'}]"
10,1043,"{'korisnicko_ime': 'novikorisnik', 'lozinka': 'novikorisnik', 'ime': 'korisnik', 'prezime': 'korisnik', 'uloga': 'korisnik', 'email': 'hasdhas@gmail.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '0655474506', 'pol': ''}",,44A,2023-02-09 19:39:58.527602,False,realizovana_karta,"[{'ime': 'korisnik', 'prezime': 'korisnik'}]"
11,1042,"{'korisnicko_ime': 'novikorisnik', 'lozinka': 'novikorisnik', 'ime': 'korisnik', 'prezime': 'korisnik', 'uloga': 'korisnik', 'email': 'hasdhas@gmail.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '0655474506', 'pol': ''}",,60A,2023-02-09 19:42:16.286117,False,realizovana_karta,"[{'ime': 'korisnik', 'prezime': 'korisnik'}]"
12,1044,"{'korisnicko_ime': 'novikorisnik', 'lozinka': 'novikorisnik', 'ime': 'korisnik', 'prezime': 'korisnik', 'uloga': 'korisnik', 'email': 'hasdhas@gmail.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '0655474506', 'pol': ''}",,60A,2023-02-09 19:44:52.888049,False,realizovana_karta,"[{'ime': 'korisnik', 'prezime': 'korisnik'}]"
13,1043,"{'korisnicko_ime': 'jelena111', 'lozinka': 'jelena111', 'ime': 'jelena', 'prezime': 'milosevic', 'uloga': 'korisnik', 'email': 'jhgdjs@gmail.com', 'pasos': '', 'drzavljanstvo': '', 'telefon': '0612456789', 'pol': ''}",,51C,2023-02-09 19:48:31.403863,False,realizovana_karta,"[{'ime': 'jelena', 'prezime': 'milosevic'}]"
14,1132,"{'korisnicko_ime': 'pera123', 'lozinka': 'lozinka123', 'ime': 'petar', 'prezime': 'petrovic', 'uloga': 'korisnik', 'email': 'pere@uhs.com', 'pasos': '23456789', 'drzavljanstvo': 'srpsko', 'telefon': '0654567826', 'pol': 'musko'}",,1B,2023-02-10 12:25:58.262591,False,realizovana_karta,"[{'ime': 'petar', 'prezime': 'petrovic'}]"
