korisnicko_ime,lozinka,ime,prezime,uloga,email,pasos,drzavljanstvo,telefon,pol

pera123,lozinka123,petar,petrovic,korisnik,pere@uhs.com,23456789,srpsko,0654567826,musko

markomarkovic,abcdefg,marko,markovic,korisnik,mare@uhs.com,13496799,srpsko,0651237826,musko

ana1203,ertyui,ana,kovacevic,prodavac,ana@gmail.com,12356779,srpsko,0604560026,zensko

milicans,milns123,milica,knezevic,korisnik,milica.knez@gmail.com,10699789,srpsko,0694997899,zensko

aleksandar75,5678439997,aleksandar,ilic,prodavac,sasae@gmail.com,33336789,srpsko,0630167821,musko

steva67,lozinkasteva,steva,stevic,admin,stevamenadzer@gmail.com,98745789,srpsko,0618647826,musko

vanja03,vanja03,Vanja,Kostic,korisnik,vanja03@gmail.com,,,0655474506,

PetarPilipovic2457,smgnfg,Petar,Pilipovic,korisnik,,987654321,srpsko,,musko

DaniloIstijanovic1959,viceix,Danilo,Istijanovic,korisnik,danilo@gmail.com,,,0614567987,

MarkoMarkovic4408,kqbgkr,Marko,Markovic,korisnik,email@gmail.com,,,0631234567,

Jovan,Jovanovic,Jovan,Jovanovic,prodavac,jovanovic88@gmail.com,111111111,srpsko,0691234123,musko

petar petrovic2954,bvwreo,petar ,petrovic,korisnik,jsdbfjdsf@sdf.com,,,065474506,

IgorNikolic5427,gmrouk,Igor,Nikolic,korisnik,email@nesto.com,,,0652056789,

petarpetrovci7765,gfeiwb,petar,petrovci,korisnik,uashdjsa@dfsdf.com,,,06547454806,

jelena111,jelena111,jelena,milosevic,korisnik,jhgdjs@gmail.com,123456789,srpsko,0612456789,zensko

